cluster	cluster_id	synteny	synteny_pos	num_samples	representative	upstream	downstream	feature	feature_alt	gene	gene_alt	product	product_alt	product_clean	name	name_alt	dbxref	dbxref_alt	reference
septum_formation_initiator_protein	Cluster_14	1	14	1	FM211187.29	S4_domain_containing_protein	septum_formation_initiator_protein__conserved_protein.2	CDS				putative septum formation initiator protein		septum_formation_initiator_protein	putative septum formation initiator protein				FM211187.29
septum_formation_initiator_protein__conserved_protein.2	Cluster_15	1	15	1	FM211187.29__FM211187.33	septum_formation_initiator_protein	conserved_protein.2	unannotated											FM211187.29__FM211187.33
conserved_protein.2	Cluster_16	1	16	1	FM211187.33	septum_formation_initiator_protein__conserved_protein.2	exported_protein.1	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.33
exported_protein.1	Cluster_17	1	17	1	FM211187.34	conserved_protein.2	ATP-binding_PP-loop_family_protein	CDS				putative exported protein		exported_protein	putative exported protein				FM211187.34
ATP-binding_PP-loop_family_protein	Cluster_18	1	18	1	FM211187.36	exported_protein.1	ATP-binding_PP-loop_family_protein__hpt	CDS				putative ATP-binding PP-loop family protein		ATP-binding_PP-loop_family_protein	putative ATP-binding PP-loop family protein				FM211187.36
ATP-binding_PP-loop_family_protein__hpt	Cluster_19	1	19	1	FM211187.36__FM211187.38	ATP-binding_PP-loop_family_protein	hpt	unannotated											FM211187.36__FM211187.38
hpt	Cluster_20	1	20	1	FM211187.38	ATP-binding_PP-loop_family_protein__hpt	hpt__ftsH	CDS		hpt		hypoxanthine-guanine phosphoribosyltransferase		hypoxanthine-guanine_phosphoribosyltransferase	hypoxanthine-guanine phosphoribosyltransferase				FM211187.38
hpt__ftsH	Cluster_21	1	21	1	FM211187.38__FM211187.40	hpt	ftsH	unannotated											FM211187.38__FM211187.40
ftsH	Cluster_22	1	22	1	FM211187.40	hpt__ftsH	ftsH__IS1167_transposase.1	CDS		ftsH		putative cell division protease FtsH		cell_division_protease_FtsH	putative cell division protease FtsH				FM211187.40
ftsH__IS1167_transposase.1	Cluster_23	1	23	1	FM211187.40__FM211187.48	ftsH	IS1167_transposase.1	unannotated											FM211187.40__FM211187.48
IS1167_transposase.1	Cluster_24	1	24	1	FM211187.48	IS1167_transposase.1__comX.1	ftsH__IS1167_transposase.1	CDS				putative IS1167 transposase		IS1167_transposase	putative IS1167 transposase				FM211187.48
IS1167_transposase.1__comX.1	Cluster_25	1	25	1	FM211187.48__FM211187.50	IS1167_transposase.1	comX.1	unannotated											FM211187.48__FM211187.50
comX.1	Cluster_26	1	26	1	FM211187.50	IS1167_transposase.1__comX.1	comX.1__tRNA-Glu.1	CDS		comX		putative competence-specific global transcription modulator		competence-specific_global_transcription_modulator	putative competence-specific global transcription modulator				FM211187.50
comX.1__tRNA-Glu.1	Cluster_27	1	27	1	FM211187.50__FM211187.52	comX.1	tRNA-Glu.1	unannotated											FM211187.50__FM211187.52
tRNA-Glu.1	Cluster_28	1	28	1	FM211187.52	comX.1__tRNA-Glu.1	tRNA-Glu.1__16S_rRNA.1	tRNA		tRNA-Glu		transfer RNA-Glu		transfer_RNA-Glu	transfer RNA-Glu				FM211187.52
tRNA-Glu.1__16S_rRNA.1	Cluster_29	1	29	1	FM211187.52__FM211187.53	tRNA-Glu.1	16S_rRNA.1	unannotated											FM211187.52__FM211187.53
16S_rRNA.1	Cluster_30	1	30	1	FM211187.53	tRNA-Glu.1__16S_rRNA.1	16S_rRNA.1__tRNA-Ala.1	rRNA				16S rRNA		16S_rRNA	16S rRNA				FM211187.53
16S_rRNA.1__tRNA-Ala.1	Cluster_31	1	31	1	FM211187.53__FM211187.54	16S_rRNA.1	tRNA-Ala.1	unannotated											FM211187.53__FM211187.54
tRNA-Ala.1	Cluster_32	1	32	1	FM211187.54	16S_rRNA.1__tRNA-Ala.1	tRNA-Ala.1__23S_rRNA.1	tRNA		tRNA-Ala		transfer RNA-Ala		transfer_RNA-Ala	transfer RNA-Ala				FM211187.54
tRNA-Ala.1__23S_rRNA.1	Cluster_33	1	33	1	FM211187.54__FM211187.55	tRNA-Ala.1	23S_rRNA.1	unannotated											FM211187.54__FM211187.55
23S_rRNA.1	Cluster_34	1	34	1	FM211187.55	tRNA-Ala.1__23S_rRNA.1	23S_rRNA.1__5S_rRNA.1	rRNA				23S rRNA		23S_rRNA	23S rRNA				FM211187.55
23S_rRNA.1__5S_rRNA.1	Cluster_35	1	35	1	FM211187.55__FM211187.56	23S_rRNA.1	5S_rRNA.1	unannotated											FM211187.55__FM211187.56
5S_rRNA.1	Cluster_36	1	36	1	FM211187.56	23S_rRNA.1__5S_rRNA.1	tRNA-Asn.1	rRNA				5S rRNA		5S_rRNA	5S rRNA				FM211187.56
tRNA-Asn.1	Cluster_37	1	37	1	FM211187.57	5S_rRNA.1	tRNA-Asn.1__IS630-Spn1_transposase	tRNA		tRNA-Asn		transfer RNA-Asn		transfer_RNA-Asn	transfer RNA-Asn				FM211187.57
tRNA-Asn.1__IS630-Spn1_transposase	Cluster_38	1	38	1	FM211187.57__FM211187.58.1	tRNA-Asn.1	IS630-Spn1_transposase	unannotated											FM211187.57__FM211187.58.1
IS630-Spn1_transposase	Cluster_39	1	39	1	FM211187.58.1	tRNA-Asn.1__IS630-Spn1_transposase	IS630-Spn1_transposase__Cluster_41	CDS				putative IS630-Spn1 transposase		IS630-Spn1_transposase	putative IS630-Spn1 transposase				FM211187.58.1
IS630-Spn1_transposase__Cluster_41	Cluster_40	1	40	1	FM211187.58.1__FM211187.58.2	IS630-Spn1_transposase	Cluster_41	unannotated											FM211187.58.1__FM211187.58.2
Cluster_41	Cluster_41	1	41	1	FM211187.58.2	IS630-Spn1_transposase__Cluster_41	Cluster_41__IS1167_transposase_pseudogene.1	CDS											FM211187.58.2
Cluster_41__IS1167_transposase_pseudogene.1	Cluster_42	1	42	1	FM211187.58.2__FM211187.60.1	Cluster_41	IS1167_transposase_pseudogene.1	unannotated											FM211187.58.2__FM211187.60.1
IS1167_transposase_pseudogene.1	Cluster_43	1	43	1	FM211187.60.1	Cluster_45__IS1167_transposase_pseudogene.1	Cluster_41__IS1167_transposase_pseudogene.1	CDS				putative IS1167 transposase (pseudogene)		IS1167_transposase_pseudogene	putative IS1167 transposase (pseudogene)				FM211187.60.1
Cluster_45__IS1167_transposase_pseudogene.1	Cluster_44	1	44	1	FM211187.60.1__FM211187.60.2	Cluster_45	IS1167_transposase_pseudogene.1	unannotated											FM211187.60.1__FM211187.60.2
Cluster_45	Cluster_45	1	45	1	FM211187.60.2	Cluster_45__conserved_protein.3	Cluster_45__IS1167_transposase_pseudogene.1	CDS											FM211187.60.2
Cluster_45__conserved_protein.3	Cluster_46	1	46	1	FM211187.60.2__FM211187.61	Cluster_45	conserved_protein.3	unannotated											FM211187.60.2__FM211187.61
conserved_protein.3	Cluster_47	1	47	1	FM211187.61	Cluster_45__conserved_protein.3	conserved_protein.3__purA	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.61
conserved_protein.3__purA	Cluster_48	1	48	1	FM211187.61__FM211187.62	conserved_protein.3	purA	unannotated											FM211187.61__FM211187.62
purA	Cluster_49	1	49	1	FM211187.62	conserved_protein.3__purA	purA__deaminase	CDS		purA		adenylosuccinate synthetase		adenylosuccinate_synthetase	adenylosuccinate synthetase				FM211187.62
purA__deaminase	Cluster_50	1	50	1	FM211187.62__FM211187.66	purA	deaminase	unannotated											FM211187.62__FM211187.66
deaminase	Cluster_51	1	51	1	FM211187.66	purA__deaminase	deaminase__4.5S_signal_recognition_particle_RNA	CDS				putative deaminase		deaminase	putative deaminase				FM211187.66
deaminase__4.5S_signal_recognition_particle_RNA	Cluster_52	1	52	1	FM211187.66__FM211187.69	deaminase	4.5S_signal_recognition_particle_RNA	unannotated											FM211187.66__FM211187.69
4.5S_signal_recognition_particle_RNA	Cluster_53	1	53	1	FM211187.69	deaminase__4.5S_signal_recognition_particle_RNA	4.5S_signal_recognition_particle_RNA__phage_integrase_pseudogene.1	transcript				4.5S signal recognition particle RNA		4.5S_signal_recognition_particle_RNA	4.5S signal recognition particle RNA				FM211187.69
4.5S_signal_recognition_particle_RNA__phage_integrase_pseudogene.1	Cluster_54	1	54	1	FM211187.69__FM211187.72.1	4.5S_signal_recognition_particle_RNA	phage_integrase_pseudogene.1	unannotated											FM211187.69__FM211187.72.1
phage_integrase_pseudogene.1	Cluster_55	1	55	1	FM211187.72.1	Cluster_56	4.5S_signal_recognition_particle_RNA__phage_integrase_pseudogene.1	CDS				putative phage integrase (pseudogene)		phage_integrase_pseudogene	putative phage integrase (pseudogene)				FM211187.72.1
Cluster_56	Cluster_56	1	56	1	FM211187.72.2	type_I_restriction_enzyme_related_protein__Cluster_56	phage_integrase_pseudogene.1	CDS											FM211187.72.2
type_I_restriction_enzyme_related_protein__Cluster_56	Cluster_57	1	57	1	FM211187.72.2__FM211187.74	type_I_restriction_enzyme_related_protein	Cluster_56	unannotated											FM211187.72.2__FM211187.74
type_I_restriction_enzyme_related_protein	Cluster_58	1	58	1	FM211187.74	phage_protein.1__type_I_restriction_enzyme_related_protein	type_I_restriction_enzyme_related_protein__Cluster_56	CDS				putative type I restriction enzyme related protein		type_I_restriction_enzyme_related_protein	putative type I restriction enzyme related protein				FM211187.74
phage_protein.1__type_I_restriction_enzyme_related_protein	Cluster_59	1	59	1	FM211187.74__FM211187.76	phage_protein.1	type_I_restriction_enzyme_related_protein	unannotated											FM211187.74__FM211187.76
phage_protein.1	Cluster_60	1	60	1	FM211187.76	plasmid_stabilisation_system_protein__phage_protein.1	phage_protein.1__type_I_restriction_enzyme_related_protein	CDS				putative phage protein		phage_protein	putative phage protein				FM211187.76
plasmid_stabilisation_system_protein__phage_protein.1	Cluster_61	1	61	1	FM211187.76__FM211187.78	plasmid_stabilisation_system_protein	phage_protein.1	unannotated											FM211187.76__FM211187.78
plasmid_stabilisation_system_protein	Cluster_62	1	62	1	FM211187.78	uncharacterized_protein.1	plasmid_stabilisation_system_protein__phage_protein.1	CDS				plasmid stabilisation system protein		plasmid_stabilisation_system_protein	plasmid stabilisation system protein				FM211187.78
uncharacterized_protein.1	Cluster_63	1	63	1	FM211187.80	phage_DNA-binding_protein.1	plasmid_stabilisation_system_protein	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.80
phage_DNA-binding_protein.1	Cluster_64	1	64	1	FM211187.81	phage_DNA-binding_protein.1__uncharacterized_protein.2	uncharacterized_protein.1	CDS				putative phage DNA-binding protein		phage_DNA-binding_protein	putative phage DNA-binding protein				FM211187.81
phage_DNA-binding_protein.1__uncharacterized_protein.2	Cluster_65	1	65	1	FM211187.81__FM211187.83	phage_DNA-binding_protein.1	uncharacterized_protein.2	unannotated											FM211187.81__FM211187.83
uncharacterized_protein.2	Cluster_66	1	66	1	FM211187.83	phage_DNA-binding_protein.1__uncharacterized_protein.2	uncharacterized_protein.2__DNA-binding_protein.1	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.83
uncharacterized_protein.2__DNA-binding_protein.1	Cluster_67	1	67	1	FM211187.83__FM211187.84	uncharacterized_protein.2	DNA-binding_protein.1	unannotated											FM211187.83__FM211187.84
DNA-binding_protein.1	Cluster_68	1	68	1	FM211187.84	uncharacterized_protein.2__DNA-binding_protein.1	DNA-binding_protein.1__uncharacterized_protein.3	CDS				putative DNA-binding protein		DNA-binding_protein	putative DNA-binding protein				FM211187.84
DNA-binding_protein.1__uncharacterized_protein.3	Cluster_69	1	69	1	FM211187.84__FM211187.85	DNA-binding_protein.1	uncharacterized_protein.3	unannotated											FM211187.84__FM211187.85
uncharacterized_protein.3	Cluster_70	1	70	1	FM211187.85	DNA-binding_protein.1__uncharacterized_protein.3	uncharacterized_protein.3__uncharacterized_protein.4	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.85
uncharacterized_protein.3__uncharacterized_protein.4	Cluster_71	1	71	1	FM211187.85__FM211187.86	uncharacterized_protein.3	uncharacterized_protein.4	unannotated											FM211187.85__FM211187.86
uncharacterized_protein.4	Cluster_72	1	72	1	FM211187.86	uncharacterized_protein.4__peptidoglycan_hydrolytic_amidase_pseudogene	uncharacterized_protein.3__uncharacterized_protein.4	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.86
uncharacterized_protein.4__peptidoglycan_hydrolytic_amidase_pseudogene	Cluster_73	1	73	1	FM211187.86__FM211187.87	uncharacterized_protein.4	peptidoglycan_hydrolytic_amidase_pseudogene	unannotated											FM211187.86__FM211187.87
peptidoglycan_hydrolytic_amidase_pseudogene	Cluster_74	1	74	1	FM211187.87	uncharacterized_protein.4__peptidoglycan_hydrolytic_amidase_pseudogene	peptidoglycan_hydrolytic_amidase_pseudogene__membrane_protein_pseudogene.1	CDS				putative peptidoglycan hydrolytic amidase (pseudogene)		peptidoglycan_hydrolytic_amidase_pseudogene	putative peptidoglycan hydrolytic amidase (pseudogene)				FM211187.87
peptidoglycan_hydrolytic_amidase_pseudogene__membrane_protein_pseudogene.1	Cluster_75	1	75	1	FM211187.87__FM211187.92.1	peptidoglycan_hydrolytic_amidase_pseudogene	membrane_protein_pseudogene.1	unannotated											FM211187.87__FM211187.92.1
membrane_protein_pseudogene.1	Cluster_76	1	76	1	FM211187.92.1	peptidoglycan_hydrolytic_amidase_pseudogene__membrane_protein_pseudogene.1	Cluster_77	CDS				putative membrane protein (pseudogene)		membrane_protein_pseudogene	putative membrane protein (pseudogene)				FM211187.92.1
Cluster_77	Cluster_77	1	77	1	FM211187.92.2	membrane_protein_pseudogene.1	uncharacterized_protein_mw1055	CDS											FM211187.92.2
uncharacterized_protein_mw1055	Cluster_78	1	78	1	FM211187.94	uncharacterized_protein_mw1055__deoxyuridine_5'-triphosphate_nucleotidohydrolase	Cluster_77	CDS				putative uncharacterized protein mw1055		uncharacterized_protein_mw1055	putative uncharacterized protein mw1055				FM211187.94
uncharacterized_protein_mw1055__deoxyuridine_5'-triphosphate_nucleotidohydrolase	Cluster_79	1	79	1	FM211187.94__FM211187.95	uncharacterized_protein_mw1055	deoxyuridine_5'-triphosphate_nucleotidohydrolase	unannotated											FM211187.94__FM211187.95
deoxyuridine_5'-triphosphate_nucleotidohydrolase	Cluster_80	1	80	1	FM211187.95	uncharacterized_protein_mw1055__deoxyuridine_5'-triphosphate_nucleotidohydrolase	deoxyuridine_5'-triphosphate_nucleotidohydrolase__phosphoglycerate_mutase_family_protein.1	CDS				deoxyuridine 5'-triphosphate nucleotidohydrolase		deoxyuridine_5'-triphosphate_nucleotidohydrolase	deoxyuridine 5'-triphosphate nucleotidohydrolase				FM211187.95
deoxyuridine_5'-triphosphate_nucleotidohydrolase__phosphoglycerate_mutase_family_protein.1	Cluster_81	1	81	1	FM211187.95__FM211187.97	deoxyuridine_5'-triphosphate_nucleotidohydrolase	phosphoglycerate_mutase_family_protein.1	unannotated											FM211187.95__FM211187.97
phosphoglycerate_mutase_family_protein.1	Cluster_82	1	82	1	FM211187.97	deoxyuridine_5'-triphosphate_nucleotidohydrolase__phosphoglycerate_mutase_family_protein.1	phosphoglycerate_mutase_family_protein.1__sms	CDS				putative phosphoglycerate mutase family protein		phosphoglycerate_mutase_family_protein	putative phosphoglycerate mutase family protein				FM211187.97
phosphoglycerate_mutase_family_protein.1__sms	Cluster_83	1	83	1	FM211187.97__FM211187.99	phosphoglycerate_mutase_family_protein.1	sms	unannotated											FM211187.97__FM211187.99
sms	Cluster_84	1	84	1	FM211187.99	phosphoglycerate_mutase_family_protein.1__sms	sms__carbonic_anhydrase	CDS		sms		putative DNA repair protein		DNA_repair_protein	putative DNA repair protein				FM211187.99
sms__carbonic_anhydrase	Cluster_85	1	85	1	FM211187.99__FM211187.101	sms	carbonic_anhydrase	unannotated											FM211187.99__FM211187.101
carbonic_anhydrase	Cluster_86	1	86	1	FM211187.101	sms__carbonic_anhydrase	carbonic_anhydrase__membrane_protein_pseudogene.2	CDS				putative carbonic anhydrase		carbonic_anhydrase	putative carbonic anhydrase				FM211187.101
carbonic_anhydrase__membrane_protein_pseudogene.2	Cluster_87	1	87	1	FM211187.101__FM211187.103.1	carbonic_anhydrase	membrane_protein_pseudogene.2	unannotated											FM211187.101__FM211187.103.1
membrane_protein_pseudogene.2	Cluster_88	1	88	1	FM211187.103.1	carbonic_anhydrase__membrane_protein_pseudogene.2	membrane_protein_pseudogene.2__Cluster_90	CDS				putative membrane protein (pseudogene)		membrane_protein_pseudogene	putative membrane protein (pseudogene)				FM211187.103.1
membrane_protein_pseudogene.2__Cluster_90	Cluster_89	1	89	1	FM211187.103.1__FM211187.103.2	membrane_protein_pseudogene.2	Cluster_90	unannotated											FM211187.103.1__FM211187.103.2
Cluster_90	Cluster_90	1	90	1	FM211187.103.2	membrane_protein_pseudogene.2__Cluster_90	Cluster_90__prsA1	CDS											FM211187.103.2
Cluster_90__prsA1	Cluster_91	1	91	1	FM211187.103.2__FM211187.107	Cluster_90	prsA1	unannotated											FM211187.103.2__FM211187.107
prsA1	Cluster_92	1	92	1	FM211187.107	Cluster_90__prsA1	prsA1__uncharacterized_protein_pseudogene.1	CDS		prsA1		ribose-phosphate pyrophosphokinase 1		ribose-phosphate_pyrophosphokinase_1	ribose-phosphate pyrophosphokinase 1				FM211187.107
prsA1__uncharacterized_protein_pseudogene.1	Cluster_93	1	93	1	FM211187.107__FM211187.112.1	prsA1	uncharacterized_protein_pseudogene.1	unannotated											FM211187.107__FM211187.112.1
uncharacterized_protein_pseudogene.1	Cluster_94	1	94	1	FM211187.112.1	prsA1__uncharacterized_protein_pseudogene.1	Cluster_95	CDS				putative uncharacterized protein (pseudogene)		uncharacterized_protein_pseudogene	putative uncharacterized protein (pseudogene)				FM211187.112.1
Cluster_95	Cluster_95	1	95	1	FM211187.112.2	uncharacterized_protein_pseudogene.1	Cluster_95__uncharacterized_protein_pseudogene.2	CDS											FM211187.112.2
Cluster_95__uncharacterized_protein_pseudogene.2	Cluster_96	1	96	1	FM211187.112.2__FM211187.113.1	Cluster_95	uncharacterized_protein_pseudogene.2	unannotated											FM211187.112.2__FM211187.113.1
uncharacterized_protein_pseudogene.2	Cluster_97	1	97	1	FM211187.113.1	Cluster_95__uncharacterized_protein_pseudogene.2	Cluster_98	CDS				putative uncharacterized protein (pseudogene)		uncharacterized_protein_pseudogene	putative uncharacterized protein (pseudogene)				FM211187.113.1
Cluster_98	Cluster_98	1	98	1	FM211187.113.2	uncharacterized_protein_pseudogene.2	Cluster_98__Cluster_100	CDS											FM211187.113.2
Cluster_98__Cluster_100	Cluster_99	1	99	1	FM211187.113.2__FM211187.114	Cluster_98	Cluster_100	unannotated											FM211187.113.2__FM211187.114
Cluster_100	Cluster_100	1	100	1	FM211187.114	Cluster_102__Cluster_100	Cluster_98__Cluster_100	repeat_region											FM211187.114
Cluster_102__Cluster_100	Cluster_101	1	101	1	FM211187.114__FM211187.115	Cluster_102	Cluster_100	unannotated											FM211187.114__FM211187.115
Cluster_102	Cluster_102	1	102	1	FM211187.115	Cluster_102__polA	Cluster_102__Cluster_100	repeat_region											FM211187.115
Cluster_102__polA	Cluster_103	1	103	1	FM211187.115__FM211187.116	Cluster_102	polA	unannotated											FM211187.115__FM211187.116
polA	Cluster_104	1	104	1	FM211187.116	Cluster_102__polA	polA__CoA-binding_protein	CDS		polA		DNA polymerase I		DNA_polymerase_I	DNA polymerase I				FM211187.116
polA__CoA-binding_protein	Cluster_105	1	105	1	FM211187.116__FM211187.121	polA	CoA-binding_protein	unannotated											FM211187.116__FM211187.121
CoA-binding_protein	Cluster_106	1	106	1	FM211187.121	polA__CoA-binding_protein	CoA-binding_protein__Cluster_108	CDS				putative CoA-binding protein		CoA-binding_protein	putative CoA-binding protein				FM211187.121
CoA-binding_protein__Cluster_108	Cluster_107	1	107	1	FM211187.121__FM211187.123	CoA-binding_protein	Cluster_108	unannotated											FM211187.121__FM211187.123
Cluster_108	Cluster_108	1	108	1	FM211187.123	protein_pseudogene.1	CoA-binding_protein__Cluster_108	repeat_region											FM211187.123
protein_pseudogene.1	Cluster_109	1	109	1	FM211187.124	Cluster_108	Cluster_110	CDS				hypothetical protein (pseudogene)		protein_pseudogene	hypothetical protein (pseudogene)				FM211187.124
Cluster_110	Cluster_110	1	110	1	FM211187.125	Cluster_111	protein_pseudogene.1	repeat_region											FM211187.125
Cluster_111	Cluster_111	1	111	1	FM211187.126	Cluster_112	Cluster_110	repeat_region											FM211187.126
Cluster_112	Cluster_112	1	112	1	FM211187.127	Cluster_114__Cluster_112	Cluster_111	repeat_region											FM211187.127
Cluster_114__Cluster_112	Cluster_113	1	113	1	FM211187.127__FM211187.128	Cluster_114	Cluster_112	unannotated											FM211187.127__FM211187.128
Cluster_114	Cluster_114	1	114	1	FM211187.128	membrane_protein.1	Cluster_114__Cluster_112	repeat_region											FM211187.128
membrane_protein.1	Cluster_115	1	115	1	FM211187.129	membrane_protein.1__aminotransferase.1	Cluster_114	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.129
membrane_protein.1__aminotransferase.1	Cluster_116	1	116	1	FM211187.129__FM211187.134	membrane_protein.1	aminotransferase.1	unannotated											FM211187.129__FM211187.134
aminotransferase.1	Cluster_117	1	117	1	FM211187.134	membrane_protein.1__aminotransferase.1	recO	CDS				putative aminotransferase		aminotransferase	putative aminotransferase				FM211187.134
recO	Cluster_118	1	118	1	FM211187.137	aminotransferase.1	plsX	CDS		recO		DNA repair protein RecO		DNA_repair_protein_RecO	DNA repair protein RecO				FM211187.137
plsX	Cluster_119	1	119	1	FM211187.139	recO	plsX__acyl_carrier_protein	CDS		plsX		fatty acid/phospholipid synthesis protein		fatty_acid/phospholipid_synthesis_protein	fatty acid/phospholipid synthesis protein				FM211187.139
plsX__acyl_carrier_protein	Cluster_120	1	120	1	FM211187.139__FM211187.141	plsX	acyl_carrier_protein	unannotated											FM211187.139__FM211187.141
acyl_carrier_protein	Cluster_121	1	121	1	FM211187.141	plsX__acyl_carrier_protein	acyl_carrier_protein__IS1381_transposase_pseudogene.1	CDS				putative acyl carrier protein		acyl_carrier_protein	putative acyl carrier protein				FM211187.141
acyl_carrier_protein__IS1381_transposase_pseudogene.1	Cluster_122	1	122	1	FM211187.141__FM211187.143.1	acyl_carrier_protein	IS1381_transposase_pseudogene.1	unannotated											FM211187.141__FM211187.143.1
IS1381_transposase_pseudogene.1	Cluster_123	1	123	1	FM211187.143.1	acyl_carrier_protein__IS1381_transposase_pseudogene.1	IS1381_transposase_pseudogene.1__Cluster_125	CDS				putative IS1381 transposase (pseudogene)		IS1381_transposase_pseudogene	putative IS1381 transposase (pseudogene)				FM211187.143.1
IS1381_transposase_pseudogene.1__Cluster_125	Cluster_124	1	124	1	FM211187.143.1__FM211187.143.2	IS1381_transposase_pseudogene.1	Cluster_125	unannotated											FM211187.143.1__FM211187.143.2
Cluster_125	Cluster_125	1	125	1	FM211187.143.2	IS1381_transposase_pseudogene.1__Cluster_125	Cluster_125__blpO	CDS											FM211187.143.2
Cluster_125__blpO	Cluster_126	1	126	1	FM211187.143.2__FM211187.144	Cluster_125	blpO	unannotated											FM211187.143.2__FM211187.144
blpO	Cluster_127	1	127	1	FM211187.144	Cluster_125__blpO	blpO__uncharacterized_protein.5	CDS		blpO		bacteriocin BlpO		bacteriocin_BlpO	bacteriocin BlpO				FM211187.144
blpO__uncharacterized_protein.5	Cluster_128	1	128	1	FM211187.144__FM211187.146	blpO	uncharacterized_protein.5	unannotated											FM211187.144__FM211187.146
uncharacterized_protein.5	Cluster_129	1	129	1	FM211187.146	blpO__uncharacterized_protein.5	uncharacterized_protein.5__Cluster_131	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.146
uncharacterized_protein.5__Cluster_131	Cluster_130	1	130	1	FM211187.146__FM211187.147	uncharacterized_protein.5	Cluster_131	unannotated											FM211187.146__FM211187.147
Cluster_131	Cluster_131	1	131	1	FM211187.147	uncharacterized_protein.5__Cluster_131	Cluster_132	repeat_region											FM211187.147
Cluster_132	Cluster_132	1	132	1	FM211187.148	Cluster_131	Cluster_133	repeat_region											FM211187.148
Cluster_133	Cluster_133	1	133	1	FM211187.149	Cluster_132	Cluster_133__comA	repeat_region											FM211187.149
Cluster_133__comA	Cluster_134	1	134	1	FM211187.149__FM211187.150	Cluster_133	comA	unannotated											FM211187.149__FM211187.150
comA	Cluster_135	1	135	1	FM211187.150	Cluster_133__comA	comA__comB	CDS		comA		bacteriocin transport/processing ATP-binding protein		bacteriocin_transport/processing_ATP-binding_prote	bacteriocin transport/processing ATP-binding protein				FM211187.150
comA__comB	Cluster_136	1	136	1	FM211187.150__FM211187.157	comA	comB	unannotated											FM211187.150__FM211187.157
comB	Cluster_137	1	137	1	FM211187.157	comA__comB	comB__purC	CDS		comB		bacteriocin transport accessory protein		bacteriocin_transport_accessory_protein	bacteriocin transport accessory protein				FM211187.157
comB__purC	Cluster_138	1	138	1	FM211187.157__FM211187.160	comB	purC	unannotated											FM211187.157__FM211187.160
